timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,ttl,tcp_window,syn,ack,rst,fin,attack_type,label
2024-01-15 08:00:00.000,192.168.1.19,10.0.226.17,52354,443,ICMP,431,59,65535,0,1,0,0,Benign,0
2024-01-15 08:00:00.100,192.168.1.7,192.168.1.12,29100,445,TCP,643,66,62207,0,1,0,0,Benign,0
2024-01-15 08:00:00.200,192.168.1.5,10.0.139.113,51366,8080,TCP,536,64,65535,0,1,0,0,Benign,0
2024-01-15 08:00:00.300,192.168.1.12,10.0.110.218,43241,25,TCP,533,71,61205,0,1,0,0,Benign,0
2024-01-15 08:00:00.400,192.168.1.12,10.0.46.235,23441,25,TCP,561,67,63791,0,1,0,0,Benign,0
2024-01-15 08:00:00.500,192.168.1.20,10.0.17.246,29042,8080,TCP,631,66,65535,0,1,0,0,Benign,0
2024-01-15 08:00:00.600,192.168.1.20,10.0.102.209,7871,80,TCP,697,60,63719,0,1,0,0,Benign,0
2024-01-15 08:00:00.700,192.168.1.15,192.168.1.9,11746,21,TCP,584,66,65535,0,1,0,0,Benign,0
2024-01-15 08:00:00.800,192.168.1.13,192.168.1.19,32961,8080,TCP,859,59,65535,0,1,0,0,Benign,0
2024-01-15 08:00:00.900,192.168.1.6,10.0.218.210,29861,3306,UDP,254,62,60784,0,1,0,0,Benign,0
2024-01-15 08:00:01.000,192.168.1.15,192.168.1.16,32812,3389,TCP,604,56,65535,0,1,0,0,Benign,0
2024-01-15 08:00:01.100,192.168.1.3,10.0.214.114,12600,25,TCP,671,64,65535,0,1,0,0,Benign,0
2024-01-15 08:00:01.200,192.168.1.14,192.168.1.6,29862,21,TCP,555,59,63585,0,1,0,0,Benign,0
2024-01-15 08:00:01.300,192.168.1.4,10.0.126.12,44318,25,TCP,402,68,65535,0,1,0,0,Benign,0
2024-01-15 08:00:01.400,192.168.1.11,10.0.21.177,19381,80,TCP,631,61,62474,0,1,0,0,Benign,0
